idx,expected_fee,actual_fee,carry
0,5071,5072,-1
1,5000,5000,0
2,5000,5000,0
3,5148,5155,-7
4,6174,6307,-133
5,18995,26302,-7307
6,5000,5000,0
7,5001,5001,0
8,5120,5125,-5
9,5001,5000,1
10,12888,15681,-2793
11,5365,5000,365
12,5001,5366,-365
13,12516,14725,-2209
14,24514,35790,-11276
15,6033,5000,1033
16,5011,6044,-1033
17,5000,5000,0
18,5001,5001,0
19,5254,5268,-14
20,5118,5110,8
21,5001,5009,-8
22,5083,5078,5
23,5538,5587,-49
24,5582,5582,0
25,5022,5022,0
26,5001,5000,1
27,5037,5040,-3
28,5085,5085,0
29,5023,5024,-1
30,5008,5007,1
31,5001,5001,0
32,5001,5000,1
33,5001,5002,-1
34,5161,5169,-8
35,6810,7066,-256
36,5001,5000,1
37,5007,5008,-1
38,5077,5079,-2
39,5016,5014,2
40,5505,5547,-42
41,5092,5054,38
42,5069,5109,-40
43,5001,5000,1
44,5169,5177,-8
45,5001,5000,1
46,5001,5001,0
47,5133,5138,-5
48,5063,5060,3
49,5136,5145,-9
50,5006,5000,6
51,5015,5022,-7
52,6469,6661,-192
53,5001,5000,1
54,5001,5002,-1
55,5000,5000,0
56,5001,5000,1
57,5007,5009,-2
58,5000,5000,0
59,5068,5070,-2
60,5200,5207,-7
61,5220,5226,-6
62,5001,5000,1
63,5001,5001,0
64,5035,5036,-1
65,5015,5015,0
66,5012,5012,0
67,5001,5001,0
68,5624,5679,-55
69,5001,5000,1
70,5000,5001,-1
71,5001,5000,1
72,5027,5029,-2
73,5004,5002,2
74,5090,5096,-6
75,5001,5000,1
76,5953,6057,-104
77,5001,5000,1
78,5000,5001,-1
79,5018,5018,0
80,5001,5000,1
81,5005,5006,-1
82,5009,5009,0
83,5073,5076,-3
84,5035,5032,3
85,5001,5003,-2
86,5001,5000,1
87,5001,5001,0
88,5005,5006,-1
89,5001,5000,1
90,5001,5002,-1
91,5001,5000,1
92,5006,5007,-1
93,5066,5067,-1
94,5005,5004,1
95,5000,5001,-1
96,5001,5000,1
97,5074,5078,-4
98,6384,6559,-175
99,5001,5000,1
